Unnamed: 0.1,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,img_url,extracted_flavors,wine_type,year,clean_description,style
96,44083,US,"Well integrated charred oak melds well with ripe blackberry and black plum aromas in this blend of Merlot from a cooperative of Long Island winemakers. This is a full-bodied wine with an intensely concentrated black fruit character, a kick of earthy, barnyard funk and firm, structured tannins.",Merliance,86,35,New York,Long Island,Long Island,Anna Lee C. Iijima,,Long Island Merlot Alliance 2007 Merliance Merlot (Long Island),Merlot,Long Island Merlot Alliance,https://images.vivino.com/thumbs/6WIn6o9fTSG4HG0NxkPSMw_150x200.jpg,"['fruit', 'wood', 'mineral', 'berry']",red,2007,integrate char oak meld ripe blackberry black plum aroma blend Merlot cooperative Long Island winemaker bodied wine intensely concentrate black fruit character kick earthy barnyard funk firm structured tannin,Outlier/Not Classified
97,101508,US,"Berry, vanilla, coconut and barrel spice aromas are followed by barrel flavors in this wine. It brings appeal, but the oak (42% new French and American) seems to take over.",Stillwater Creek Vineyard,88,28,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Novelty Hill 2014 Stillwater Creek Vineyard Grenache (Columbia Valley (WA)),Grenache,Novelty Hill,https://images.vivino.com/thumbs/Z3K8i3kyRAC2c0GbUl0btw_pb_x600.png,"['wood', 'berry', 'spice', 'vanilla', 'nuts']",red,2014,Berry vanilla coconut barrel spice aroma follow barrel flavor wine bring appeal oak 42 new French American,Outlier/Not Classified
98,49661,US,"Honey and pears on the nose. Bone dry, this wine offers bracing acidity, a crisp fruity core, good focus, and a hint of vanilla on the finish. Very pretty nose; fine food wine.",,87,12,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Seven Hills 1999 Pinot Gris (Willamette Valley),Pinot Gris,Seven Hills,https://images.vivino.com/thumbs/4vbDdHa_Symntgu6AiZxcA_pb_x600.png,"['vanilla', 'caramel', 'fruit']",white,1999,honey pear nose bone dry wine offer brace acidity crisp fruity core good focus hint vanilla finish pretty nose fine food wine,Outlier/Not Classified
99,68355,France,"This is the dry white wine made from the Sauternes estate of Rayne Vigneau. Grapefruit and other citrus flavors are prominent, cutting through the taut texture, along with with a light touch of honey that gives richness. The wine needs to age a little longer, so drink from late 2016.",Le Sec de Rayne Vigneau,90,23,Bordeaux,Bordeaux Blanc,,Roger Voss,@vossroger,Château de Rayne Vigneau 2013 Le Sec de Rayne Vigneau  (Bordeaux Blanc),Sauvignon Blanc,Château de Rayne Vigneau,https://images.vivino.com/thumbs/5OCYLyLhSV-s3gypp3m2ag_pb_x600.png,"['caramel', 'citrus', 'fruit']",white,2013,dry white wine Sauternes estate Rayne Vigneau Grapefruit citrus flavor prominent cut taut texture light touch honey give richness wine need age little long drink late 2016,Concentrated and Fruity
100,8995,France,"Named after the steep slopes that back the Bourgeois winery, this powerful, concentrated wine shows both wonderful white and yellow fruits and a mineral character that gives a superb tension. Packed with fruit and impressively textured, it can still age. Drink from 2017.",La Côte des Monts Damnés,93,35,Loire Valley,Sancerre,,Roger Voss,@vossroger,Henri Bourgeois 2013 La Côte des Monts Damnés  (Sancerre),Sauvignon Blanc,Henri Bourgeois,https://images.vivino.com/thumbs/jRa14lQPTbWcp4m12TlJlw_pb_x600.png,['mineral'],white,2013,name steep slope Bourgeois winery powerful concentrated wine show wonderful white yellow fruit mineral character give superb tension pack fruit impressively texture age drink 2017,Concentrated and Fruity
101,19274,US,"A blended red from Sparkman, sharp and tannic, with good concentration. Tart, spicy and herbal, with hints of tomato and wild berry. It rolls into an astringent finish, with a dark chocolate note.",Kindred,88,20,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Sparkman 2008 Kindred Red (Columbia Valley (WA)),Red Blend,Sparkman,https://images.vivino.com/thumbs/6pN9wqqWQeypwl1kwrGB-g_pb_x600.png,"['coffee', 'chocolate', 'herbs', 'berry']",red,2008,blend red Sparkman sharp tannic good concentration tart spicy herbal hint tomato wild berry roll astringent finish dark chocolate note,Outlier/Not Classified
102,109113,Portugal,"A blend of Chardonnay and Touriga Nacional, this is a ripe, mature wine that shows a great balance between acidity and rich flavors of almond and toast. It has weight but still hints at freshness. This is a food sparkling wine.",Conde de Vimioso Extra Bruto,88,20,Tejo,,,Roger Voss,@vossroger,Falua 2009 Conde de Vimioso Extra Bruto Sparkling (Tejo),Sparkling Blend,Falua,https://images.vivino.com/thumbs/YmsSgMMuSXO21kMujQ8M3g_pb_x600.png,['nuts'],sparkling,2009,blend Chardonnay Touriga Nacional ripe mature wine show great balance acidity rich flavor almond toast weight hint freshness food sparkle wine,Sweet and Buttery
103,37149,France,"This is turning into a ripe and fruity wine. The tannins are integrating easily into the black currant flavors. Soon the dry core will open out, supporting the fruit taste. The blend is 50% Merlot, 40% Cabernet Sauvignon and 10% Cabernet Franc. Drink from late 2016.",Château les Tuilleries,85,18,Bordeaux,Bordeaux,,Roger Voss,@vossroger,VIgnobles Roux 2014 Château les Tuilleries  (Bordeaux),Bordeaux-style Red Blend,VIgnobles Roux,https://images.vivino.com/thumbs/8mrtYO5QRsW8KphqUwCDaA_150x200.jpg,['berry'],red,2014,turn ripe fruity wine tannin integrate easily black currant flavor soon dry core open support fruit taste blend 50 Merlot 40 Cabernet Sauvignon 10 Cabernet Franc drink late 2016,Outlier/Not Classified
104,115554,Chile,"Funky at first, with barnyard aromas giving way to roasted fruit, olive and rubber aromas. Chunky in the mouth, with leafy, roasted flavors that follow the nose. Finishes herbal, toasted and spiced, with adequate freshness.",Reserva,84,14,Casablanca Valley,,,Michael Schachner,@wineschach,Veramonte 2009 Reserva Pinot Noir (Casablanca Valley),Pinot Noir,Veramonte,https://images.vivino.com/thumbs/7HedycArTq6pieE6toFVEA_pb_x600.png,"['wood', 'spice', 'herbs']",red,2009,funky barnyard aroma give way roasted fruit olive rubber aroma Chunky mouth leafy roasted flavor follow nose finish herbal toast spice adequate freshness,Spicy and Aromatic
105,105424,France,"Steinbach is a village at the extreme southern end of the Alsace vineyard, known for its Pinot Noir. This is a rich, full example—a wine that has structure and concentration, as well as ripe cherry fruitiness. It can be drunk now, or until 2022.",Steinbach,90,35,Alsace,Alsace,,Roger Voss,@vossroger,Joseph Cattin 2010 Steinbach Pinot Noir (Alsace),Pinot Noir,Joseph Cattin,https://images.vivino.com/thumbs/93c3Hw-IS9mrjPe_5AZ8BQ_pb_x600.png,['berry'],red,2010,Steinbach village extreme southern end Alsace vineyard know Pinot Noir rich example wine structure concentration ripe cherry fruitiness drunk 2022,Light and Fruity
106,25637,US,"Clearly an older wine, picking up a bottle bouquet of dried herbs, lees and yeast, riding on top of basic peach, pear and tropical fruits. Drinks very dry and crisp. The fruit is beginning to fade, leaving behind flavors of dried leaves, herbs, minerals and spice. An interesting wine of considerable nuance and subtlety.",FOS Reserve Gravelstone Vineyard - Est. Res. Collection,90,18,California,Monterey,Central Coast,,,Jekel 1999 FOS Reserve Gravelstone Vineyard - Est. Res. Collection Chardonnay (Monterey),Chardonnay,Jekel,https://images.vivino.com/thumbs/20ykzlp3ToqV0sgtOzH3-A_pb_x600.png,"['spice', 'mineral', 'herbs', 'fruit']",white,1999,clearly old wine pick bottle bouquet dry herb lee yeast ride basic peach pear tropical fruit drink dry crisp fruit begin fade leave flavor dry leave herb mineral spice interesting wine considerable nuance subtlety,Outlier/Not Classified
107,96339,US,"Dark and meaty, soft and full, with a very light touch of leather, this nicely catches hold of the varietal character, yet here it's coupled with vivid, fresh and ripe cherry fruit. It's a fine expression of the evolving style of Tempranillo in central Oregon, styled for both immediate enjoyment and cellaring over the next six to eight years.",Cask 11,90,36,Oregon,Umpqua Valley,Southern Oregon,Paul Gregutt,@paulgwine ,Paul O'Brien 2014 Cask 11 Tempranillo (Umpqua Valley),Tempranillo,Paul O'Brien,https://images.vivino.com/thumbs/FcB-DIPATsyv9ZukwkBt6A_150x200.jpg,"['leather', 'berry']",red,2014,Dark meaty soft light touch leather nicely catch hold varietal character couple vivid fresh ripe cherry fruit fine expression evolving style Tempranillo central Oregon style immediate enjoyment cellare year,Outlier/Not Classified
108,119048,Italy,"Earthy game, scorched earth and black-skinned fruit aromas come together in this Brunello. The palate is dense and ripe, delivering raspberry jam, mochaand vanilla flavors, with mature tannins. Enjoy 2018–2022.",,88,60,Tuscany,Brunello di Montalcino,,Kerin O’Keefe,@kerinokeefe,Fornacina 2012  Brunello di Montalcino,Sangiovese,Fornacina,https://images.vivino.com/thumbs/98yS7iAlQRSOdH5K7xC2vg_pb_x600.png,"['mineral', 'vanilla', 'chocolate', 'berry']",red,2012,earthy game scorch earth black skinned fruit aroma come Brunello palate dense ripe deliver raspberry jam mochaand vanilla flavor mature tannin enjoy 2018–2022,Outlier/Not Classified
109,106926,US,"Very smooth and mouthfilling, this medium-bodied wine has a harmonious feeling about it. Ripe, juicy fruit and cola flavors meet soft tannins, and a broad, expansive texture carries them into the finish.",Reserve,87,36,California,Lake County,,Jim Gordon,@gordone_cellars,Mt. Konocti Winery 2013 Reserve Sangiovese (Lake County),Sangiovese,Mt. Konocti Winery,https://images.vivino.com/thumbs/nnIMVPdJRGmPQlqJCZ9PEQ_150x200.jpg,[],red,2013,smooth mouthfilling medium bodied wine harmonious feeling Ripe juicy fruit cola flavor meet soft tannin broad expansive texture carry finish,Outlier/Not Classified
110,40866,US,This wine is 100% Sangiovese and is a pale pink color. Aromas of cherry bubblegum and herb lead to a dry full-feeling palate. The alcohol pokes out a bit at times but it still provides enjoyment.,,87,15,Washington,Yakima Valley,Columbia Valley,Sean P. Sullivan,@wawinereport,Airfield Estates 2015 Rosé (Yakima Valley),Rosé,Airfield Estates,https://images.vivino.com/thumbs/Ef8wXXcHSBePeIGgjlovYA_pb_x600.png,"['herbs', 'berry']",rosé,2015,wine 100 Sangiovese pale pink color Aromas cherry bubblegum herb lead dry feel palate alcohol poke bit time provide enjoyment,Outlier/Not Classified
111,104259,US,"Perfumed and high-toned, this is an impressively crafted and priced blend of 35% Merlot, 24% Cabernet Sauvignon, 20% Malbec, 16% Grenache and 5% Petite Sirah. It shows a peek into each variety's personality, luxuriating in black pepper, leather, meat and black jam, with a juicy lushness to the palate.",Cuvée,93,26,California,Sonoma County,Sonoma,Virginie Boone,@vboone,Kokomo 2014 Cuvée Red (Sonoma County),Red Blend,Kokomo,https://images.vivino.com/thumbs/3o7nI3eNSa-NU9XtVo5yTA_pb_x600.png,"['leather', 'spice', 'berry']",red,2014,perfumed high tone impressively craft price blend 35 Merlot 24 Cabernet Sauvignon 20 Malbec 16 Grenache 5 Petite Sirah show peek variety personality luxuriate black pepper leather meat black jam juicy lushness palate,Outlier/Not Classified
112,102520,Argentina,"Light, leafy, earthy aromas of plum and tomato accurately announce a lively, fresh palate with spicy, peppery flavors of earth, red plum and cranberry. Juicy acidity, dry but ripe red fruit and earthy complexity make for a strong finish.",,89,20,Other,Alto Valle del Río Negro,,Michael Schachner,@wineschach,Verum 2013 Pinot Noir (Alto Valle del Río Negro),Pinot Noir,Verum,https://images.vivino.com/thumbs/GG0ttnSGQsOidHCdOX950g_pb_x600.png,"['fruit', 'spice', 'mineral', 'berry']",red,2013,light leafy earthy aroma plum tomato accurately announce lively fresh palate spicy peppery flavor earth red plum cranberry Juicy acidity dry ripe red fruit earthy complexity strong finish,Mellow and Light-Bodied
113,62705,Portugal,"Bright, ripe red plums predominate in this wine that tastes very young, intensely fruity and veering towards dryness. Rich and juicy, it is still developing its mature velvet character. It should lose some its primary fruits and become more balanced, so wait until 2016.",Late Bottled Vintage,87,18,Port,,,Roger Voss,@vossroger,Cálem 2009 Late Bottled Vintage  (Port),Port,Cálem,https://images.vivino.com/thumbs/KpntxbdWRKO1nLlM8m6Q3Q_pb_x600.png,['fruit'],dessert,2009,bright ripe red plum predominate wine taste young intensely fruity veer dryness rich juicy develop mature velvet character lose primary fruit balanced wait 2016,Outlier/Not Classified
114,112306,US,"The Estate bottling, at least at the moment, is a light and delicate wine, with more than a hint of beetroot and stem. The cherry fruit is pleasant and a bit thin, but the wine has some complexity, which shows in the residual flavors of orange peel.",Estate,87,30,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Willamette Valley Vineyards 2014 Estate Pinot Noir (Willamette Valley),Pinot Noir,Willamette Valley Vineyards,https://images.vivino.com/thumbs/V0BFeeEnTTCarff0pT3H1w_pb_x600.png,"['citrus', 'berry']",red,2014,Estate bottle moment light delicate wine hint beetroot stem cherry fruit pleasant bit thin wine complexity show residual flavor orange peel,Concentrated and Fruity
115,125635,US,"Soft, rich and sweet, this is an easy Merlot for drinking now. It has ripe, forward cherry, mocha and oak flavors, with a hint of bacon that suggests pairing with pork-based entrées.",,86,36,California,Paso Robles,Central Coast,,,Kenneth Volk 2008 Merlot (Paso Robles),Merlot,Kenneth Volk,https://images.vivino.com/thumbs/zv1sYqxKTd6PRRX8KY959g_150x200.jpg,"['wood', 'chocolate', 'smoky', 'berry']",red,2008,soft rich sweet easy merlot drink ripe forward cherry mocha oak flavor hint bacon suggest pair pork base entrées,Outlier/Not Classified
116,40360,Italy,"This earthy Taurasi opens with aromas of ripe black fruit, blue flower, wet soil and leather. The ripe, structured palate doles out fleshy black cherry accented by cracked black pepper and balsamic herbs. With bracing tannins, give this time to fully develop depth and complexity; drink after 2019. Oliver McCrum, Polaner.",Coste,91,70,Southern Italy,Taurasi,,Kerin O’Keefe,@kerinokeefe,Contrade di Taurasi - Lonardo 2009 Coste  (Taurasi),Aglianico,Contrade di Taurasi - Lonardo,https://images.vivino.com/thumbs/1340730519_2685_150x200.jpg,"['herbs', 'flowers', 'leather', 'mineral', 'berry', 'spice']",red,2009,earthy taurasi open aroma ripe black fruit blue flower wet soil leather ripe structured palate dole fleshy black cherry accent crack black pepper balsamic herb brace tannin time fully develop depth complexity drink 2019 Oliver McCrum Polaner,Spicy and Aromatic
118,17496,US,"Café au lait, mocha, wood spice and herb aromas are followed by sweet plentiful black fruit flavors. The tannins give a dry squeeze.",Moonspell,89,28,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Bergevin Lane 2012 Moonspell Cabernet Sauvignon (Columbia Valley (WA)),Cabernet Sauvignon,Bergevin Lane,https://images.vivino.com/thumbs/t0bpGMyiQ52CYlqx4y8pHw_pb_x600.png,"['wood', 'spice', 'chocolate', 'herbs']",red,2012,Café au lait mocha wood spice herb aroma follow sweet plentiful black fruit flavor tannin dry squeeze,Spicy and Aromatic
120,103143,US,"Light in color, this wine offers aromas of dried herbs, fresh flowers and cherry. The style is light and elegant. It doesn't entirely stand up on its own but it should do well at the dinner table.",,88,29,Washington,Horse Heaven Hills,Columbia Valley,Sean P. Sullivan,@wawinereport,San Juan Vineyards 2011 Cabernet Franc (Horse Heaven Hills),Cabernet Franc,San Juan Vineyards,https://images.vivino.com/thumbs/uYsxUcvfREOFMuRHSUZRBg_150x200.jpg,"['flowers', 'herbs', 'berry']",red,2011,light color wine offer aroma dry herb fresh flower cherry style light elegant entirely stand dinner table,Structured and Toasty
121,75784,France,"Light and fruity, this wine has red fruit and a tannic edge, and bright acidity that gives definition to the fruit. Ready to drink now.",,85,24,Burgundy,Bourgogne,,Roger Voss,@vossroger,Joseph Faiveley 2010  Bourgogne,Pinot Noir,Joseph Faiveley,https://images.vivino.com/thumbs/GT4f6t0vRTKXDTX_rNlEFQ_pb_x600.png,[],red,2010,light fruity wine red fruit tannic edge bright acidity give definition fruit ready drink,Concentrated and Fruity
122,70275,France,"Named after Alain Thiénot's daughter Garance, this is rich and full of delicious fruit. Well aged, it is just developing some secondary flavors that complement the ripe apple and crisp grapefruit flavors. The mineral tang on the finish adds a bit of levity. Drink now.",Cuvée Garance Blanc de Rouges Brut Millesimé,90,100,Champagne,Champagne,,Roger Voss,@vossroger,Thiénot 2007 Cuvée Garance Blanc de Rouges Brut Millesimé Pinot Noir (Champagne),Pinot Noir,Thiénot,https://images.vivino.com/thumbs/-fC-NO12Tairx_Zk7I9ptQ_pb_x600.png,"['mineral', 'citrus', 'fruit']",red,2007,name Alain Thiénot daughter Garance rich delicious fruit aged develop secondary flavor complement ripe apple crisp grapefruit flavor mineral tang finish add bit levity drink,Outlier/Not Classified
126,56701,France,"Ripe both with the generous tannins and the juicy fruit, this is a wine with good potential. There is plenty of acidity to bring out the crisp character of this attractive wine. It will be ready from 2019.",,87,15,Bordeaux,Bordeaux Supérieur,,Roger Voss,@vossroger,Château de Garros 2015  Bordeaux Supérieur,Bordeaux-style Red Blend,Château de Garros,https://images.vivino.com/thumbs/VoZVHGqfTwGGXag7Eklteg_pb_x600.png,[],red,2015,Ripe generous tannin juicy fruit wine good potential plenty acidity bring crisp character attractive wine ready 2019,Concentrated and Fruity
127,14180,France,"This is a fragrant, floral wine, with a smooth touch of vanilla. It has a fruity, ripe feel, and it shows fresh, crisp, apple-like acidity. This is a ready-to-drink, balanced Chardonnay.",,86,27,Burgundy,Bourgogne,,Roger Voss,@vossroger,Domaine Jessiaume 2010  Bourgogne,Chardonnay,Domaine Jessiaume,https://images.vivino.com/thumbs/Nr_QHTdjR2Gg7jEaaybNng_pb_x600.png,"['flowers', 'vanilla', 'fruit']",white,2010,fragrant floral wine smooth touch vanilla fruity ripe feel show fresh crisp apple like acidity ready drink balanced Chardonnay,Sweet and Buttery
128,64242,US,"This blend is a third each Cabernet Sauvignon and Merlot with the rest equal parts Petit Verdot and Cabernet Franc. Aromas of cocoa, cherry, vanilla and baking spices show restraint while the flavors bring a supple feel. It's equal parts fruit and barrel.",Basis Points,90,35,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Market Vineyards 2011 Basis Points Red (Columbia Valley (WA)),Bordeaux-style Red Blend,Market Vineyards,https://images.vivino.com/thumbs/tr_yuOXDRnih8sQ6kyw1NA_150x200.jpg,"['chocolate', 'coffee', 'berry', 'spice', 'vanilla']",red,2011,blend Cabernet Sauvignon Merlot rest equal part Petit Verdot Cabernet Franc Aromas cocoa cherry vanilla bake spice restraint flavor bring supple feel equal part fruit barrel,Bold and Structured
129,19025,US,"This suave and sophisticated wine is so smooth to sip that its depth of flavor is a little deceptive. A subtle potpourri of clove, cinnamon, black tea and blackberry aromas swirl around a great core of mild acidity, fine-grained tannins and many layers of concentrated fruit flavor. The texture is velvety and the finish lingers for at least 30 seconds.",Methode A L'Ancienne,93,32,California,Anderson Valley,,Jim Gordon,@gordone_cellars,Navarro 2015 Methode A L'Ancienne Pinot Noir (Anderson Valley),Pinot Noir,Navarro,https://images.vivino.com/thumbs/wJIJ5C08S8K5wm-2xtSNNw_pb_x600.png,"['spice', 'berry']",red,2015,suave sophisticated wine smooth sip depth flavor little deceptive subtle potpourri clove cinnamon black tea blackberry aromas swirl great core mild acidity fine grain tannin layer concentrated fruit flavor texture velvety finish linger 30 second,Outlier/Not Classified
130,76543,US,"Here's a good, dry and fairly complex Pinot Noir from the same estate as Calera's better and more expensive block bottings. It's light bodied and spicy, with earthy notes of tobacco, herbs, cherries and sandalwood. Drink now, after a good decanting.",de Villiers,89,35,California,Mt. Harlan,Central Coast,,,Calera 2008 de Villiers Pinot Noir (Mt. Harlan),Pinot Noir,Calera,https://images.vivino.com/thumbs/9fTY3ATASM6CrIN4442_pg_pb_x600.png,"['wood', 'mineral', 'herbs', 'smoky']",red,2008,good dry fairly complex Pinot Noir estate Calera well expensive block botting light bodied spicy earthy note tobacco herb cherry sandalwood drink good decanting,Light and Fruity
131,123821,US,"Blending 85% Cabernet Sauvignon with 12% Petit Verdot and 3% Malbec, this wine offers length and breadth, built on a foundation of firm tannin and toasted oak. The palate suggests blackberry, black cherry and licorice, remaining lively and fresh in the glass.",Adamus,91,98,California,Diamond Mountain District,Napa,Virginie Boone,@vboone,En Garde 2012 Adamus Red (Diamond Mountain District),Bordeaux-style Red Blend,En Garde,https://images.vivino.com/thumbs/QzPqIJhDRRy9VK64Up4Hqw_150x200.jpg,"['wood', 'spice', 'berry']",red,2012,blend 85 Cabernet Sauvignon 12 Petit Verdot 3 Malbec wine offer length breadth build foundation firm tannin toast oak palate suggest blackberry black cherry licorice remain lively fresh glass,Bold and Structured
132,632,France,"Ripe fragrant, yellow mirabelle plums constitute the chief perfume of this charming wine. The palate holds even more fruity nuance but is dry, concentrated and linear, being carried forward by zesty freshness and lemony overtones. This is clean, charming, taut and dry with a bracing nature and a clean, brisk finish.",Wineck-Schlossberg Grand Cru,92,34,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Jean-Marc Bernhard 2013 Wineck-Schlossberg Grand Cru Riesling (Alsace),Riesling,Jean-Marc Bernhard,https://images.vivino.com/thumbs/s1f_J3UHSjy-HBlMKUpcgQ_pb_x600.png,"['citrus', 'fruit']",white,2013,ripe fragrant yellow mirabelle plum constitute chief perfume charming wine palate hold fruity nuance dry concentrated linear carry forward zesty freshness lemony overtone clean charming taut dry brace nature clean brisk finish,Crisp and Citrusy
133,58605,US,"This is a complex young wine, made in the white Bordeaux style. It has been barrel fermented and aged on the lees. Marked by crisp, mouthwatering acidity, it shows a grassy, hay quality that dries out the citrus fruit and apple fruit, giving the wine a bone-dry feel. Very fine and near the top of Napa Valley Sauvignon Blancs.",Terroir Coquerel,93,37,California,Napa Valley,Napa,,,Cockerell 2007 Terroir Coquerel Sauvignon Blanc (Napa Valley),Sauvignon Blanc,Cockerell,https://images.vivino.com/thumbs/default_label_150x200.jpg,"['herbs', 'citrus', 'fruit']",white,2007,complex young wine white Bordeaux style barrel ferment age lee mark crisp mouthwatering acidity show grassy hay quality dry citrus fruit apple fruit give wine bone dry feel fine near Napa Valley Sauvignon Blancs,Outlier/Not Classified
137,35240,US,"Crisp red plum and cherry flavors accented with ripe, brambly wood notes are pleasant, but coarse tannins combined with a slightly craggy acidity make this Long Island Cab Franc less than harmonious on the palate.",,82,20,New York,North Fork of Long Island,Long Island,Anna Lee C. Iijima,,Pellegrini Vineyards 2005 Cabernet Franc (North Fork of Long Island),Cabernet Franc,Pellegrini Vineyards,https://images.vivino.com/thumbs/vqvnCJS8S1uOGympjUjUDQ_pb_x600.png,"['fruit', 'wood', 'berry']",red,2005,crisp red plum cherry flavor accent ripe brambly wood note pleasant coarse tannin combine slightly craggy acidity Long Island Cab Franc harmonious palate,Outlier/Not Classified
139,83367,US,"The best of a great flight of single-vineyard 2009 Pinots from Adelsheim, this new entry into the lineup is all muscle and black fruits. It is power-packed with dense, rich flavors, nuanced with exotic spices and black tea, moving into silky tannins and an extremely long, satisfying finish.",Nicholas Vineyard,95,90,Oregon,Chehalem Mountains,Willamette Valley,Paul Gregutt,@paulgwine ,Adelsheim 2009 Nicholas Vineyard Pinot Noir (Chehalem Mountains),Pinot Noir,Adelsheim,https://images.vivino.com/thumbs/4bs7ueUGSUusj3otyKfyGQ_pb_x600.png,['spice'],red,2009,good great flight single vineyard 2009 Pinots Adelsheim new entry lineup muscle black fruit power pack dense rich flavor nuance exotic spice black tea move silky tannin extremely long satisfy finish,Outlier/Not Classified
140,10039,US,"Rock solid, this substantial Merlot is grounded in earth flavors, laced with butter cookie, and finished with tart tannins. The fruit is tight and tangy.",,89,25,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Januik 2011 Merlot (Columbia Valley (WA)),Merlot,Januik,https://images.vivino.com/thumbs/toySAPmGSDC0mMldkUOdEA_pb_x600.png,"['mineral', 'butter']",red,2011,rock solid substantial Merlot ground earth flavor lace butter cookie finish tart tannin fruit tight tangy,Outlier/Not Classified
141,96435,France,"An obviously wood-aged wine, this shows a bitter toast character. The fruit is lean, struggling to show through the dark chocolate flavor. It has an austere finish, which is mitigated by its final acidity.",,84,20,Bordeaux,Médoc,,Roger Voss,@vossroger,Château Le Bourdieu 2010  Médoc,Bordeaux-style Red Blend,Château Le Bourdieu,https://images.vivino.com/thumbs/5dalfy8KQ6eYHAvn1LW8OA_pb_x600.png,"['coffee', 'wood', 'chocolate']",red,2010,obviously wood aged wine show bitter toast character fruit lean struggle dark chocolate flavor austere finish mitigate final acidity,Concentrated and Fruity
142,22543,France,"Creamy, ripe pear fruit signals a pliable, rich wine. There is some palpable warmth amid the generous pear notes that are held in check by fresh, zesty acidity. The body does not come across as heavy but as a lovely interplay of ripe pear and zesty citrus.",Bonheur Convivial,89,18,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Domaine Rieflé-Landmann 2014 Bonheur Convivial Pinot Gris (Alsace),Pinot Gris,Domaine Rieflé-Landmann,https://images.vivino.com/thumbs/00l736qscc73q_150x200.jpg,"['citrus', 'fruit']",white,2014,creamy ripe pear fruit signal pliable rich wine palpable warmth amid generous pear note hold check fresh zesty acidity body come heavy lovely interplay ripe pear zesty citrus,Outlier/Not Classified
143,26241,US,"A rich, full-bodied and dry Syrah that shows fine terroir. It comes from an area, in the Gabilan Mountains of Monterey, that does not yet have a sub-appellation, but should. The wine is effusive in blackberries, black currants, mocha, pepper and cedar, with a sweetly exotic note of foie gras. Now–2012.",North Block,90,29,California,Monterey County,Central Coast,,,Coastview 2007 North Block Syrah (Monterey County),Syrah,Coastview,https://images.vivino.com/thumbs/wjC8q1QRRlmYmC9gz-kb2w_pb_x600.png,"['spice', 'chocolate', 'berry']",red,2007,rich bodied dry Syrah show fine terroir come area Gabilan Mountains Monterey sub appellation wine effusive blackberry black currant mocha pepper cedar sweetly exotic note foie gras now–2012,Rich and Tannic
144,89455,US,"Very rich and ripe, with masses of cherries, red currants and mocha that finish thoroughly dry and spicy. Full-bodied, too, almost like Grenache. Quite good, but a bit ungainly in youth. Needs a few years in the bottle. 2010–2013.",Limited Selection,90,48,California,Sta. Rita Hills,Central Coast,,,Gainey 2007 Limited Selection Pinot Noir (Sta. Rita Hills),Pinot Noir,Gainey,https://images.vivino.com/thumbs/Gnx3p6CLTpy3N-d27IsyhQ_150x200.jpg,"['chocolate', 'berry']",red,2007,rich ripe masse cherry red currant mocha finish thoroughly dry spicy bodied like Grenache good bit ungainly youth need year bottle 2010–2013,Outlier/Not Classified
145,30918,Turkey,"Fragrances of cherry cola and mocha yield to flavors of eucalyptus, mocha, black cherry and strawberry. This wine is bright on entry before being joined by strong tannins. Acidity ultimately wins out, leading to a smooth, lasting finish.",Nexus,91,34,Aegean,,,Mike DeSimone,@worldwineguys,Urla 2011 Nexus Red (Aegean),Bordeaux-style Red Blend,Urla,https://images.vivino.com/thumbs/N_lhg2h-SEKzf9yTO_6mLg_pb_x600.png,"['chocolate', 'berry']",red,2011,fragrance cherry cola mocha yield flavor eucalyptus mocha black cherry strawberry wine bright entry join strong tannin acidity ultimately win lead smooth lasting finish,Outlier/Not Classified
146,16051,France,"Big tannins dominate this still young wine. It has spice and a dry toast character that will need to soften. With acidity and hints of red fruits that should happen, so drink this wine from 2019 when its potential should be realized.",,87,20,Bordeaux,Cadillac Côtes de Bordeaux,,Roger Voss,@vossroger,Château Les Hauts de Palette 2014  Cadillac Côtes de Bordeaux,Bordeaux-style Red Blend,Château Les Hauts de Palette,https://images.vivino.com/thumbs/-1TRCVFXRT-0vu4GjVZRIQ_pb_x600.png,['spice'],red,2014,big tannin dominate young wine spice dry toast character need soften acidity hint red fruit happen drink wine 2019 potential realize,Concentrated and Fruity
