,Unnamed: 0.1,Unnamed: 0,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,title,variety,winery,img_url,extracted_flavors,wine_type,year
111,142,22543,France,"Creamy, ripe pear fruit signals a pliable, rich wine. There is some palpable warmth amid the generous pear notes that are held in check by fresh, zesty acidity. The body does not come across as heavy but as a lovely interplay of ripe pear and zesty citrus.",Bonheur Convivial,89,18,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Domaine Rieflé-Landmann 2014 Bonheur Convivial Pinot Gris,Pinot Gris,Domaine Rieflé-Landmann,http://www.ourfrenchimpressions.com/uploads/2/0/9/8/2098687/5100590_orig.jpg,"['fruit', 'citrus', 'pear']",white,2014
112,143,26241,US,"A rich, full-bodied and dry Syrah that shows fine terroir. It comes from an area, in the Gabilan Mountains of Monterey, that does not yet have a sub-appellation, but should. The wine is effusive in blackberries, black currants, mocha, pepper and cedar, with a sweetly exotic note of foie gras. Now–2012.",North Block,90,29,California,Monterey County,Central Coast,,,Coastview 2007 North Block Syrah,Syrah,Coastview,https://cdn.ct-static.com/labels/a448a0f8-c05b-4cd9-ab7b-0ed7f05beb03.jpg,['pepper'],red,2007
113,144,89455,US,"Very rich and ripe, with masses of cherries, red currants and mocha that finish thoroughly dry and spicy. Full-bodied, too, almost like Grenache. Quite good, but a bit ungainly in youth. Needs a few years in the bottle. 2010–2013.",Limited Selection,90,48,California,Sta. Rita Hills,Central Coast,,,Gainey 2007 Limited Selection Pinot Noir,Pinot Noir,Gainey,https://cdn.shoplightspeed.com/shops/649427/files/36374948/gainey-vineyard-merlot-2017-santa-inez-valley-gain.jpg,[],red,2007
114,145,30918,Turkey,"Fragrances of cherry cola and mocha yield to flavors of eucalyptus, mocha, black cherry and strawberry. This wine is bright on entry before being joined by strong tannins. Acidity ultimately wins out, leading to a smooth, lasting finish.",Nexus,91,34,Aegean,,,Mike DeSimone,@worldwineguys,Urla 2011 Nexus Red,Bordeaux-style Red Blend,Urla,"https://www.wine-searcher.com/images/labels/05/95/10480595.jpg?width=260&height=260&fit=bounds&canvas=260,260","['berry', 'cherry']",red,2011
115,146,16051,France,"Big tannins dominate this still young wine. It has spice and a dry toast character that will need to soften. With acidity and hints of red fruits that should happen, so drink this wine from 2019 when its potential should be realized.",,87,20,Bordeaux,Cadillac Côtes de Bordeaux,,Roger Voss,@vossroger,Château Les Hauts de Palette 2014  Cadillac Côtes de Bordeaux,Bordeaux-style Red Blend,Château Les Hauts de Palette,https://images.wsj.net/im-307034/?width=700&height=466,"['fruit', 'spice']",red,2014
116,147,55945,US,"This vineyard has been source to Ottomino's best Zinfandels for years. The '08 is right up there, rich and sweet in briary berries, cola, mocha and pepper spice. The tannins are firm; the acidity is just right. A bit young and sweet in primary fruit, try aging it for a few years in the cellar.",Von Weidlich Vineyard,91,38,California,Russian River Valley,Sonoma,,,Ottimino Vineyards 2008 Von Weidlich Vineyard Zinfandel,Zinfandel,Ottimino Vineyards,https://www.wine.com/content/media/jc70ljquxrra/igp9uz0C9ag4mmwIaEIWM/5568c89ec38e6226d9192b4cdb3f3e8f/winery-generic-7.jpg?w=1920&q=50,"['fruit', 'spice', 'pepper']",red,2008
117,148,55338,Italy,"This bright Aglianico delivers a dark fruit aroma, with touches of rum cake and dusty mineral at the back. The brightness of the acidity will refresh your tastebuds.",,87,13,Southern Italy,Campania,,,,Terredora 2010 Aglianico,Aglianico,Terredora,https://images.vivino.com/thumbs/-jUR8z4DRo2XYZPybkZa1g_pb_x600.png,"['fruit', 'mineral']",red,2010
118,150,78866,Chile,"Weak aromas of peach pit and tropical fruit are none too exciting, while the palate is dilute and carries flavors of orange and lime. Too narrow to warrant a recommendation, with barely any concentration.",Reserva,82,12,Maule Valley,,,Michael Schachner,@wineschach,Chilensis 2008 Reserva Sauvignon Blanc,Sauvignon Blanc,Chilensis,"https://www.wine-searcher.com/images/labels/23/91/11582391.jpg?width=260&height=260&fit=bounds&canvas=260,260","['fruit', 'peach', 'tropical', 'lime', 'orange']",white,2008
119,151,125483,US,"Another fine Chardonnay from this esteemed producer. Shows the house signature of dryness, zesty acidity and a minerally cleanliness like Spring snow melt. It's rich in tropical fruits, with additional layers of cream and vanilla from barrel fermentation.",Highland,90,27,California,Santa Lucia Highlands,Central Coast,,,Morgan 2011 Highland Chardonnay,Chardonnay,Morgan,https://cdn11.bigcommerce.com/s-taixn69rog/images/stencil/1280x1280/products/36127/799358/500326__81539.1637485850.jpg?c=1,"['fruit', 'tropical', 'vanilla', 'mineral']",white,2011
120,152,36550,US,"Broad aromas of espresso and dark cherry carry onto the medium- to full-bodied palate, which comes with an edgy texture due in part to the elevated acids.",Genesis,84,29,Virginia,Virginia,,,,Lost Creek 2011 Genesis Red,Red Blend,Lost Creek,https://images.vivino.com/thumbs/f2ZB1ZmoQq6xLfs4LqQk_A_150x200.jpg,['cherry'],red,2011
121,153,127570,US,"This Bordeaux blend is solidly in the Darby style, but bigger and fuller and rounder than the other wines, with lovely, plummy aromas that lead into mouth-filling blackberry, cassis and cherry fruit. The use of 75% new oak is not intrusive; it's truly just an accent, and does not overtake the fruit.",The Swagger Reserve Red,91,50,Washington,Columbia Valley (WA),Columbia Valley,Paul Gregutt,@paulgwine ,Darby 2007 The Swagger Reserve Red Red ),Bordeaux-style Red Blend,Darby,"https://www.wine-searcher.com/images/labels/76/57/10837657.jpg?width=260&height=260&fit=bounds&canvas=260,260","['fruit', 'berry', 'cherry', 'oak', 'plum']",red,2007
122,154,113587,US,"At the age of four years, this Chardonnay is losing its primary fruit character and picking up rich, complex aged notes of glazed cashews, baked pineapple and dried peaches and apricots. It's also very spicy. Really fascinates the palate, offering a different experience each second, and should continue to interest for several more years.",Fort Ross Vineyard Reserve,94,40,California,Sonoma Coast,Sonoma,,,Fort Ross 2004 Fort Ross Vineyard Reserve Chardonnay,Chardonnay,Fort Ross,https://fortrossvineyard.com/wp-content/uploads/2024/08/Fort-Ross-Vineyard-Ridge-Top-1800x1200.jpg,"['fruit', 'apple', 'peach']",white,2004
123,155,26664,New Zealand,"Plummy and dark, with accents of cedar, dark chocolate and hints of coffee. This is always the most robust of the Felton Road Pinots, and really deserves a few years in the cellar; although it's approachable now, expect the already soft tannins to turn silkier in time.",Block 5,93,79,Central Otago,,,Joe Czerwinski,@JoeCz,Felton Road 2008 Block 5 Pinot Noir,Pinot Noir,Felton Road,https://feltonroad.com/wp-content/uploads/2023/08/2008-Block-5-768x565.jpg,"['chocolate', 'coffee', 'plum']",red,2008
124,156,92439,US,"Pretty ordinary stuff, a tannic wine with sharp, jammy berry-cherry flavors and a fast, hard finish.",,81,9,California,California,California Other,,,Butterfield Station 2005 Shiraz,Shiraz,Butterfield Station,https://cdn.ct-static.com/labels/18fb5eaf-f745-4195-b18c-8c26d1944a65.jpg,"['berry', 'cherry']",red,2005
125,157,70107,US,"This handsome, full-bodied wine has aromas of dark cherry and toasted oak, flavors like ripe plums and vanilla and a velvety mouthfeel due to good acidity and fine-grained tannins.",,89,25,California,Lodi,Central Valley,Jim Gordon,@gordone_cellars,Oak Farm 2013 Barbera,Barbera,Oak Farm,https://cliffswinepicks.com/wp-content/uploads/2017/01/2014-oak-farm-vineyards-barbera-lodi.jpg?w=584&h=390,"['cherry', 'vanilla', 'oak', 'plum']",red,2013
126,159,126033,Argentina,"Dense aromas of fig, prune, cassis and blackberry are more mellow than monstrous. In the mouth, this Cabernet feels chunky, ripe and fully tannic. Savory berry fruit flavors and notes of cured meats and jerky finish a bit flat, with a lasting flavor of oaky chocolate. Drink through 2022.",Reserva,92,40,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Las Vertientes 2014 Reserva Cabernet Sauvignon,Cabernet Sauvignon,Las Vertientes,https://cdn.ct-static.com/labels/635f3a94-f8ac-46ad-8f6e-74cc6c99b11c.jpg,"['fruit', 'berry', 'chocolate', 'oak', 'prune']",red,2014
127,160,102914,US,"A plummy interpretation of Merlot, this also brings aromas and flavors of herbs and spice. Flavors are sweet and easy drinking with lightly grainy tannins.",,86,19,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Boomtown 2013 Merlot ),Merlot,Boomtown,"https://www.totalwine.com/dynamic/x1000,sq/media/sys_master/twmmedia/h3f/h0f/28426781851678.png","['spice', 'herb', 'plum']",red,2013
128,161,122809,France,"Ripe and wood aged, this is rich with ginger and tropical fruit flavors. Dense and concentrated, it is a full-in-the-mouth wine—powerful and very ageworthy. Give this five years.",Vieilles Vignes,93,70,Burgundy,Pouilly-Fuissé,,Roger Voss,@vossroger,Château de Fuissé 2010 Vieilles Vignes,Chardonnay,Château de Fuissé,https://images.vivino.com/thumbs/IQhfz3Q4Rj2PClqZrFpZyQ_pb_x960.png,"['fruit', 'tropical']",white,2010
129,162,123034,US,"This 100% varietal wine offers very primary, focused aromas of blackberry, black licorice, cocoa and black cherry. It's full in feel, with abundant dark fruit flavors supported by lightly dry tannins. Give it time to all come together. Best after 2020.",Washington,90,50,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Bomb 2010 Washington Cabernet Sauvignon ),Cabernet Sauvignon,Bomb,https://www.wineenthusiast.com/wp-content/uploads/2024/06/06_24_The_Top_Rated_California_Cabs_to_Drink_Right_Now_HERO_RodneyStrong_DaouVineyards_Wine.com_StagsLeapWineCellars_1920x1280.jpg,"['fruit', 'berry', 'cherry', 'cocoa']",red,2010
130,163,3660,US,"Shows a fine, polished Napa style in the perfectly ripe blackberry and currant flavors, and in the way the sweet and ultrarefined tannins give the wine such classic structure. New oak adds just the right touch of smoke and vanilla to this ageworthy 100% Cab. Best after 2010.",,92,60,California,St. Helena,Napa,,,Parry Cellars 2004 Cabernet Sauvignon,Cabernet Sauvignon,Parry Cellars,https://www.wineenthusiast.com/wp-content/assets/reviews/label-images/wine/wine/parry.gif,"['berry', 'vanilla', 'oak', 'smoke']",red,2004
131,164,88117,US,"This outgoing and full-bodied wine has a lot going for it. Fruity, enticing aromas lead to fully ripe flavors that suggest plums and fresh strawberries, with a suave and supple texture.",,90,52,California,Sonoma Coast,Sonoma,Jim Gordon,@gordone_cellars,Kanzler 2013 Pinot Noir,Pinot Noir,Kanzler,https://kostabrowne.com/wp-content/uploads/2021/04/NV-Kosta-Browne-Kanzler-Vineyard-Pinot-Noir-13.jpg,"['fruit', 'plum']",red,2013
132,165,84011,US,"Light in color and silky in texture, this earthy wine offers overtones of cinnamon, dark cherry, raspberry and clove. Well integrated in terms of oak and tannin, it's full-bodied enough to please those who like a bigger styled wine.",Reserve,88,37,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,MacMurray Estate Vineyards 2013 Reserve Pinot Noir,Pinot Noir,MacMurray Estate Vineyards,"https://www.wine.com/product/images/w_600,h_600,dpr_2.0,c_fit,q_auto:good,fl_progressive/jrstglupre7slg58d0zc.jpg","['berry', 'cherry', 'oak', 'earth']",red,2013
133,166,36391,US,"Smoke, blackberries, black cherries, pencil lead and woody mints show on the nose of this wine from a label once owned by the California winemaking pioneer. The palate is heavily sprinkled with oregano, thyme and anise against a background of tart blueberry juice, and the tannins need some mellowing though 2017–2018, when it will drink even nicer.",,88,60,California,Santa Cruz Mountains,Central Coast,Matt Kettmann,@mattkettmann,Martin Ray 2012 Cabernet Sauvignon,Cabernet Sauvignon,Martin Ray,https://s1.img.bidsquare.com/item/xl/2770/27700491.jpeg,"['berry', 'smoke']",red,2012
134,168,23785,Italy,"Creamy and fresh, this opens with aromas of pressed yellow flowers, dried orchard fruit, toast and pastry. The foaming palate doles out ripe apple, butterscotch, pastry cream and toasted walnut alongside a soft mousse.",Vintage Collection Satèn,89,75,Lombardy,Franciacorta,,Kerin O’Keefe,@kerinokeefe,Ca' del Bosco 2010 Vintage Collection Satèn Sparkling,Sparkling Blend,Ca' del Bosco,https://images.vivino.com/thumbs/NI2Ftqe0TDO0K3PgT41JBg_pb_x600.png,"['fruit', 'apple', 'nut', 'butter']",sparkling,2010
135,169,28553,US,"Cinnamon and spiced berry—a seductive combination—lead this Cab from the Finger Lakes, but on the palate, cherry, pepper and spice flavors fall a bit flat. The wine wants more complexity and dimension, but offers approachable red berry flavors that will pair well with lamb or steak.",,82,19,New York,Finger Lakes,Finger Lakes,Susan Kostrzewa,@suskostrzewa,Hazlitt 1852 Vineyards 2005 Cabernet Sauvignon,Cabernet Sauvignon,Hazlitt 1852 Vineyards,http://www.odessafile.com/0727cans.jpg,"['berry', 'cherry', 'spice', 'pepper']",red,2005
136,170,52192,US,"This is the kind of wine Franciscan produces so well and reliably. As far as Merlots go, it shows the soft approachability and supple tannins you expect. Flavorwise, it's appealing in ripe red cherries, sweet red licorice and smoky oak. A very nice restaurant wine, and easy to find, with more than 20,000 cases produced.",,90,21,California,Napa Valley,Napa,,,Franciscan 2010 Merlot,Merlot,Franciscan,https://www.kenswineguide.com/images_wine/Franciscan-2010-Merlot.gif,['oak'],red,2010
137,171,9158,US,"All the Brick House wines are certified organic and Biodynamic. Les Dijonnais spent 15 months in 30% new French oak. The opening aromas lead with fresh, lively, buoyant notes of cherry fruit. With more exposure to air its tannins get a bit chewy, and the wine shows impressive strength through a long finish.",Les Dijonnais,92,52,Oregon,Ribbon Ridge,Willamette Valley,Paul Gregutt,@paulgwine ,Brick House 2012 Les Dijonnais Pinot Noir,Pinot Noir,Brick House,https://www.chamberswines.com/images/wines/brickhouse-les-dijonais-bottleshot.jpg,"['fruit', 'cherry', 'oak']",red,2012
138,172,42405,US,"Rich, balanced and full bodied, this shows exuberantly ripe, sweet flavors of blackberries, mulberries, dark chocolate and raisins, with notes of exotic spices. It will last for 20 years, gradually losing fruit and growing earthy and mushroomy.",Bacigalupi Vineyard,93,50,California,Russian River Valley,Sonoma,,,Williams Selyem 2010 Bacigalupi Vineyard Zinfandel,Zinfandel,Williams Selyem,https://eyw6hgnhuus.exactdn.com/wp-content/uploads/2010/10/8in_72dpi_WS_BacigalupiZin_Final.jpg?strip=all&lossy=1&ssl=1,"['fruit', 'chocolate', 'spice', 'earth']",red,2010
139,175,94481,France,"This is a light-colored wine with warm raspberry flavors and attractive acidity. Well balanced, it has a tangy orange-zest texture along with an herbal aftertaste. Drink this attractive wine now.",Nuit Blanche en Provence,87,18,Provence,Côtes de Provence,,Roger Voss,@vossroger,Mas de Cadenet 2016 Nuit Blanche en Provence Rosé,Rosé,Mas de Cadenet,https://www.wine-searcher.com/images/labels/12/41/11621241.jpg,"['berry', 'herb', 'orange']",rosé,2016
140,176,102818,Austria,"A rich, nutty note hints at hazelnut, with lively citrus laying underneath. This vein of lemony verve leads the melody like the soaring, unfettered notes of a violin against a sonorous background. This will always be firm but once it opens up, it will be even more harmonious and beguiling. Drink from 2020.",Heiligenstein Alte Reben Reserve,95,74,Kamptal,,,Anne Krebiehl MW,@AnneInVino,Bründlmayer 2014 Heiligenstein Alte Reben Reserve Riesling,Riesling,Bründlmayer,https://nyc.flatiron-wines.com/cdn/shop/files/Brundlmayer-Ried-Zobinger-Heiligenstein-1-OTW-Alte-Reben-Kamptal-DAC-Riesling-2014-White-Wine-Flatiron-Wines-Spirits-New-York.jpg?v=1685889650,"['citrus', 'lemon', 'nut', 'lemon']",white,2014
141,177,37561,Spain,"This blend of 75% Tempranillo and 25% Cabernet Sauvignon opens with dry, earthy, spicy aromas of tomato, red plum and horse hide. It's racy and lifted on the palate, with good balance. Flavors of olive, herbs, spice and red-berry fruits are slightly green, while this is chocolaty and lightly oaky on the finish.",Crianza,88,16,Northern Spain,Somontano,,Michael Schachner,@wineschach,Enate 2009 Crianza Red,Tempranillo Blend,Enate,"https://www.wine-searcher.com/images/labels/64/01/10586401.jpg?width=260&height=260&fit=bounds&canvas=260,260","['fruit', 'berry', 'oak', 'spice', 'herb', 'earth', 'plum']",red,2009
142,178,69841,US,"This is the producer's first barrel-aged Chardonnay, made from a blend of two vineyards and two clones, including one from their own estate on Westside Road. Sour and sweet alternatively, it finds a steely path to balance and soft layers of apple, Asian pear and a touch of ginger-topped butterscotch.",Rio Oro,88,40,California,Russian River Valley,Sonoma,Virginie Boone,@vboone,Bucher 2014 Rio Oro Chardonnay,Chardonnay,Bucher,https://cdn4.volusion.store/ednyv-xwagu/v/vspfiles/photos/BUCH2014chard-2T.jpg?v-cache=1718028375,"['apple', 'pear', 'butter']",white,2014
143,179,73980,US,"Soft and ripe enough to drink now, after a decent decanting, it shows pure raspberry, blueberry and cherry fruit flavors, subtlely accented with cola and baking spices, and all of it wrapped into thick but smooth tannins. Good as it is, it will gain traction over the next 15 years.",Hirsch Vineyard,95,75,California,Sonoma Coast,Sonoma,,,Williams Selyem 2009 Hirsch Vineyard Pinot Noir,Pinot Noir,Williams Selyem,https://www.wineenthusiast.com/wp-content/assets/reviews/label-images/wine/wine/143177_63B_Feb12_2930.jpg,"['fruit', 'berry', 'cherry', 'spice']",red,2009
144,180,14597,US,"Profile has been an important, but sometimes overlooked, member of the Napa Valley pantheon for many years, and their '06 shows why. It's a rich, complex and smooth wine. Packed with blackberry, cassis and smoky, new oak flavors, it shows a firm structure of tannins and acidity. Beautiful now with a grilled steak, and should age well for at least a decade.",Profile,94,135,California,Napa Valley,Napa,,,Merryvale 2006 Profile Red,Bordeaux-style Red Blend,Merryvale,https://profile-collection.com/wp-content/uploads/2017/02/MFW_Label_Profile_2006.png,"['berry', 'oak']",red,2006
145,182,27019,US,"Dark pink-orange in color, this pungent 100% varietal wine was given no time in oak, allowing its crisp orange peel, grapefruit and cherry flavors to shine. Moderate acidity underlies the simple finish.",Dry Rosé of,88,15,California,Dry Creek Valley,Sonoma,Virginie Boone,@vboone,Pedroncelli 2016 Dry Rosé of Zinfandel,Zinfandel,Pedroncelli,https://images.commerce7.com/j-pedroncelli-winery/images/medium/2018-four-grapes-port-1699923869924.png,"['fruit', 'cherry', 'oak', 'orange']",red,2016
146,183,93519,Italy,"The mouthfeel is linear and delicate with lingering tones of sweet cola, almonds, vanilla and spice over solid red fruit. Silky tannins and ample freshness bring up the rear.",Pian di Nova,88,20,Tuscany,Toscana,,,,Il Borro 2005 Pian di Nova Red,Red Blend,Il Borro,https://cdn.ct-static.com/labels/87b57e56-a28a-404e-8801-2c0aee3ac281.jpg,"['fruit', 'vanilla', 'spice', 'almond']",red,2005
147,184,102403,Italy,"Not very expressive, it opens with subdued aromas that recall lemon peel and toast. These carry over to the palate along with a note of butterscotch. There's not enough fruit richness to support the racy acidity.",Tasnim,86,19,Northeastern Italy,Vigneti delle Dolomiti,,Kerin O’Keefe,@kerinokeefe,Loacker 2012 Tasnim Sauvignon Blanc,Sauvignon Blanc,Loacker,https://www.wineenthusiast.com/wp-content/uploads/2024/09/09_24_Chardonnay_vs_Sauvignon_Blanc_HERO_GettyImages-139471152_1127377974_1920x1280.jpg,"['fruit', 'lemon', 'butter', 'lemon']",white,2012
148,185,88039,US,"Aromas of sun-dried tomatoes, coffee, cinnamon, toast, blackberries and currants introduce a wine that drinks light and fruity. Some pretty flavors here, with lots of spice and soft tannins. Nothing to write home about, but nice enough for a dry red table wine.",,85,21,California,Sonoma County,Sonoma,,,Dry Creek Vineyard 1998 Merlot,Merlot,Dry Creek Vineyard,https://images.commerce7.com/dry-creek-vineyard/images/medium/2020_merlot_bottle_rgb_2048x2048-1678836117058.png,"['fruit', 'spice', 'coffee']",red,1998
149,186,71194,US,"With a silky texture and mouthwatering acidity, this is a polished Pinot Noir. It's dry and spicy, with raspberry jam, Dr. Pepper, red plum and sandalwood flavors that finish with an earthy touch of mushrooms. Makes for lovely drinking now, and should age well for eight years.",,90,35,California,Carneros,Napa-Sonoma,,,The Gardener 2012 Pinot Noir,Pinot Noir,The Gardener,"https://www.wine.com/product/images/w_600,h_600,dpr_2.0,c_fit,q_auto:good,fl_progressive/43219_refDetail-0.jpg","['berry', 'pepper', 'earth', 'plum']",red,2012
150,187,49345,Germany,"Juicy white grapefruit and lime flavors penetrate throughout this juicy, off-dry Riesling. It's refreshing and quaffable yet elegantly structured, finishing moderately long on a lingering lime-pith note.",Nierstein Bergkirche Kabinett,89,20,Rheinhessen,,,Anna Lee C. Iijima,,Louis Guntrum 2012 Nierstein Bergkirche Kabinett Riesling,Riesling,Louis Guntrum,https://broadbent.com/wp-content/webp-express/webp-images/doc-root/wp-content/uploads/2024/07/NV-Guntrum-Niersteiner-Bergkirche-Bottle-Shot.png.webp,"['fruit', 'lime']",white,2012
151,188,73831,Italy,"This blend of 85% Sangiovese, 10% Can aiolo and 5% other red grapes opens with aromas of ripe dark-skinned fruit, crushed blue flowers and a whiff of clove. The easygoing palate offers dried black cherry, espresso and a hint of anise alongside dusty tannins.",,87,15,Tuscany,Chianti Rufina,,Kerin O’Keefe,@kerinokeefe,Fattoria di Grignano 2012  Chianti Rufina,Red Blend,Fattoria di Grignano,https://cdn.ct-static.com/labels/64796c90-4d59-4945-97c8-bb4fcf8df9f8.jpg,"['fruit', 'cherry']",red,2012
152,190,40419,Portugal,"Duas Quintas Reserva is now established as one of the benchmark wines in the Douro. This dark-colored effort has ripe, concentrated dark berry and herb flavors and a fine sense of tannic structure from wood aging. There's a strong sense of minerality as well, giving this richness and aging potential.",Duas Quintas Reserva,92,30,Douro,,,Roger Voss,@vossroger,Ramos-Pinto 2010 Duas Quintas Reserva Red,Portuguese Red,Ramos-Pinto,https://winehouseportugal.com/6379-large_default/duas-quintas-reserva-2010-red-wine-duas-quintas-reserva-2010-red-wine-is-producer-by-ramos-pinto-ramos-pinto.jpg,"['berry', 'herb', 'mineral']",red,2010
153,191,19620,US,"Rich and tangy, a Chardonnay that appeals for its pure varietal flavors and noble structure. It's powerful in pineapple and orange fruit, with a sweet overlay of caramelized oak. This richness is balanced by brisk acidity and minerality.",No. 76,90,30,California,Sonoma Coast,Sonoma,,,JCB 2010 No. 76 Chardonnay,Chardonnay,JCB,https://s3.amazonaws.com/boissetfamilyestates-assets/images/labels/JCBNo76CH2010-back.jpg,"['fruit', 'apple', 'oak', 'mineral', 'orange']",white,2010
154,193,23310,Portugal,"Delicately perfumed, yellow and tropical-fruit flavored, this is bright and very fruity. The citrus edge adds a further lift to this refreshing, ready-to-drink wine.",Vinha Padre Pedro Branco,87,9,Tejo,,,Roger Voss,@vossroger,Casa Cadaval 2015 Vinha Padre Pedro Branco White,Portuguese White,Casa Cadaval,https://www.portugalvineyards.com/90495-home_default/casa-de-cadaval-vinha-padre-pedro-white-2021.jpg,"['fruit', 'citrus', 'tropical']",white,2015
155,194,651,France,"Subtle notes of clean, fresh lemon zest promise pleasure, the palate reveals a far riper aspect of fresh red apple and baked apples. The dry palate remains zingy and clean and provides ample textured freshness. The effect is that of fresh apple sorbet.",Pfersigberg Grand Cru,92,39,Alsace,Alsace,,Anne Krebiehl MW,@AnneInVino,Kuentz-Bas 2014 Pfersigberg Grand Cru Riesling,Riesling,Kuentz-Bas,https://s3.amazonaws.com/efcheckout/kermitlynch/products/Kermit-Lynch-Wine-Merchant-2019-Riesling-iGrand-Crui-Geisberg-product-image-8469-medium.jpg,"['apple', 'lemon', 'lemon']",white,2014
156,196,30863,US,"The treatment here is fermentation in stainless steel, and the wine shows ripe, tart, tangy fruit. Mostly melon and kiwi flavors, good weight on the palate, and little if any oak.",,87,20,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Torii Mor 2000 Pinot Gris,Pinot Gris,Torii Mor,https://shop.toriimorwinery.com/assets/images/products/pictures/ToriiMor_NV_Olson_PN-OSDFTI.jpg,"['fruit', 'oak']",white,2000
157,197,16536,US,"From Draper clone vines planted in 1965, this bright gold-hued wine brings myriad details to its apple, jicama, white peach and nut oil flavors. A whiff of smoke carries throughout, and its sheer complexity strains the vocabulary. Stay with it as more subtle layers unfold. Though seductive now, it should mature well through 2030.",Original Vines,95,60,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,The Eyrie Vineyards 2015 Original Vines Chardonnay,Chardonnay,The Eyrie Vineyards,http://merchantofwine.com/cdn/shop/files/TheEyrieVineyards_Chardonnay_DundeeHills_WillametteValley_Oregon_2018.jpg?crop=center&height=1200&v=1709492962&width=1200,"['apple', 'peach', 'nut', 'smoke']",white,2015
158,198,123908,France,"In its classic Provence skittle bottle, this is a wine for quaffing at a patio or restaurant table. Pale in color but packed with red fruit, it is an immediately attractive fruity and lively wine. Drink now.",Soleillades,85,12,Provence,Coteaux d'Aix-en-Provence,,Roger Voss,@vossroger,Ravoire et Fils 2016 Soleillades Rosé,Rosé,Ravoire et Fils,https://images.vivino.com/thumbs/hqQXzRtmR-qadlkX-Hds-w_pl_375x500.png,['fruit'],rosé,2016
159,200,113998,US,"This offers exceptional concentration and power. Sweet strawberry fruit is dense and detailed, bringing hints of spice and milk chocolate into play through a long, utterly satisfying finish.",Rosé of,92,21,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Lachini 2013 Rosé of Pinot Noir,Pinot Noir,Lachini,"https://static.wixstatic.com/media/1d7092_5888787b403f4324af860fe7c8fc4db3~mv2.jpg/v1/fill/w_640,h_400,al_c,q_80,usm_0.66_1.00_0.01,enc_auto/1d7092_5888787b403f4324af860fe7c8fc4db3~mv2.jpg","['fruit', 'berry', 'chocolate', 'spice']",red,2013
160,201,129107,Australia,"This full-bodied, single-vineyard bottling has a distinct charred or roasted note to it, while the texture is slightly coarse. The flavors are earthy and dark, reminiscent of burnt wood and roasted meat, finally ending on an espresso note.",The Vociferate Dipsomaniac Single Vineyard,87,85,South Australia,McLaren Vale,,Joe Czerwinski,@JoeCz,D'Arenberg 2010 The Vociferate Dipsomaniac Single Vineyard Shiraz,Shiraz,D'Arenberg,https://images.vivino.com/thumbs/NHH2wQqlRWOarif5LCNKkw_pl_375x500.png,['earth'],red,2010
161,202,121861,US,"This is dry and vital in acidity, but it seems slightly underripe. Raw citrus and asparagus flavors mark the sharp finish.",Los Olivos Vineyard,83,25,California,Santa Ynez Valley,Central Coast,,,Brander 2009 Los Olivos Vineyard Chardonnay,Chardonnay,Brander,https://www.wineenthusiast.com/wp-content/uploads/2024/06/06_24_The_Top_Rated_California_Chardonnays_Right_Now_HERO_MidegoRidge_Sangiacomo_Cuvaison_ThreeSticks__1920x1280.jpg,['citrus'],white,2009
162,203,107768,US,"A Chardonnay with sweet, simple flavors of white sugar and pineapples. Tart acidity gives it the taste of a sweet-and-sour sauce for Chinese food.",Paragon,81,15,California,Central Coast,Central Coast,,,Edna Valley Vineyard 2011 Paragon Chardonnay,Chardonnay,Edna Valley Vineyard,https://thewineraconteur.net/wp-content/uploads/2014/05/edna-valley-vineyard-paragon-chardonnay-2011.jpg,['apple'],white,2011
163,204,83595,US,"This wine opens with aromas of vanilla and baking spices that are followed by broad, silky-feeling fruit and barrel flavors, finishing on a somewhat bitter note. The oak holds a prominent role but still plays its part well.",Estate Grown and Bottled,87,25,Washington,Columbia Valley (WA),Columbia Valley,Sean P. Sullivan,@wawinereport,Claar 2011 Estate Grown and Bottled Merlot ),Merlot,Claar,https://www.wineenthusiast.com/wp-content/uploads/2024/06/06_24_The_Top_Rated_California_Cabs_to_Drink_Right_Now_HERO_RodneyStrong_DaouVineyards_Wine.com_StagsLeapWineCellars_1920x1280.jpg,"['fruit', 'vanilla', 'oak', 'spice']",red,2011
164,206,67924,Austria,"Very light-bodied, slight but textbook Grüner with green pear fruit on nose and palate and an almost fizzy, refreshing and utterly appetizing hint of white pepper. Gives a superclean, pear-drop finish.",Q,89,13,Niederösterreich,,,Anne Krebiehl MW,@AnneInVino,Unger 2015 Q Grüner Veltliner,Grüner Veltliner,Unger,"https://www.wine-searcher.com/images/labels/63/96/10566396.jpg?width=260&height=260&fit=bounds&canvas=260,260","['fruit', 'pear', 'pepper']",white,2015
